0.1214,0.099,0.0621,0.0885,0.0832,0.1141,0.0465,0.1035,0.0085,0.0794,0.0455,0.107,0.0357,0.0755,0.0457,0.1022,0.0606,0.0673,0.0444,0.0747,0.113,0.0618,0.0614,0.0458
0.2091,0.1733,0.0751,0.1303,0.1198,0.1903,0.0483,0.1683,0.0092,0.1252,0.0461,0.1813,0.0369,0.1089,0.0479,0.1595,0.0751,0.0843,0.0458,0.0968,0.1906,0.0777,0.0732,0.0478
0.4083,0.3061,0.0801,0.1857,0.1617,0.3145,0.049,0.2679,0.009,0.1995,0.0464,0.304,0.0364,0.1476,0.0489,0.2477,0.0879,0.1019,0.0469,0.1188,0.3363,0.0912,0.0815,0.0487
0.6648,0.4225,0.0774,0.2149,0.1833,0.4233,0.0486,0.3335,0.0089,0.2646,0.0472,0.3985,0.0365,0.1749,0.0495,0.3223,0.0937,0.1137,0.0475,0.133,0.4604,0.0973,0.0843,0.0504
0.8224,0.4801,0.0733,0.2207,0.1876,0.4858,0.048,0.3528,0.009,0.2972,0.0471,0.4345,0.0365,0.1907,0.0489,0.3701,0.0948,0.1223,0.0477,0.1423,0.5003,0.0996,0.0836,0.053
0.8739,0.5147,0.07,0.2155,0.1888,0.5122,0.0477,0.3529,0.0091,0.3349,0.0471,0.4486,0.0366,0.2087,0.0489,0.4101,0.0952,0.1326,0.0478,0.1543,0.5073,0.1023,0.0831,0.0567
0.8861,0.5374,0.0672,0.2015,0.1896,0.5181,0.0473,0.3406,0.0093,0.3969,0.0467,0.4498,0.0366,0.2333,0.0484,0.4455,0.0955,0.1466,0.0475,0.1695,0.5087,0.1058,0.0826,0.0618
0.8912,0.5409,0.0652,0.183,0.19,0.5088,0.0464,0.3192,0.0093,0.4497,0.0458,0.4357,0.0366,0.2664,0.0473,0.4769,0.0957,0.169,0.0468,0.1824,0.5093,0.1105,0.0821,0.0656
0.8972,0.5173,0.0639,0.1646,0.1903,0.4981,0.0464,0.2946,0.0092,0.4691,0.0459,0.4101,0.0365,0.3162,0.0475,0.5045,0.096,0.211,0.0472,0.1894,0.5108,0.1214,0.0835,0.0671
0.8997,0.4628,0.0624,0.1468,0.1899,0.4675,0.0472,0.2672,0.0091,0.4697,0.047,0.374,0.0365,0.3804,0.0487,0.5257,0.0962,0.2781,0.0486,0.1931,0.5105,0.1616,0.089,0.0678
0.9018,0.3897,0.0612,0.1277,0.1896,0.4344,0.0486,0.235,0.0091,0.4539,0.0488,0.327,0.0363,0.4358,0.0506,0.5411,0.0962,0.3588,0.0508,0.1966,0.5103,0.2714,0.0995,0.0689
0.9044,0.3146,0.0605,0.1104,0.1895,0.4481,0.0553,0.2022,0.0093,0.4247,0.0591,0.2725,0.0362,0.461,0.0621,0.5535,0.0963,0.4274,0.0621,0.2033,0.5106,0.414,0.1223,0.0715
0.9057,0.2488,0.0598,0.0983,0.1895,0.4082,0.076,0.1758,0.0094,0.3825,0.1054,0.2256,0.0364,0.4448,0.1186,0.5658,0.0963,0.448,0.1152,0.2138,0.5105,0.498,0.1985,0.0756
0.9068,0.1967,0.0589,0.0871,0.1896,0.3118,0.0999,0.1524,0.0093,0.3287,0.1944,0.1896,0.0362,0.4011,0.2621,0.5798,0.0964,0.4269,0.25,0.225,0.5103,0.5115,0.3459,0.0801
0.91,0.1595,0.0582,0.0746,0.1903,0.2216,0.1057,0.1284,0.0094,0.2712,0.2589,0.1607,0.0363,0.346,0.4572,0.5955,0.0966,0.3878,0.4309,0.2356,0.5117,0.4848,0.4693,0.084
0.9098,0.1327,0.0576,0.0658,0.1902,0.1577,0.1004,0.1119,0.0093,0.216,0.2698,0.1429,0.0362,0.2872,0.6322,0.6085,0.0966,0.3392,0.5735,0.2469,0.5115,0.4382,0.498,0.0878
0.9114,0.1143,0.0572,0.0646,0.1907,0.1191,0.0969,0.1087,0.0093,0.1695,0.2655,0.1381,0.0361,0.2326,0.7521,0.6223,0.0969,0.2869,0.6319,0.261,0.5126,0.3831,0.4622,0.0922
