0.102,0.0184,0.0918,0.0679,0.102,0.0621,0.0237,0.0444,0.0798,0.1025,0.0148,0.042,0.0676,0.0944,0.0512,0.0215,0.0159,0.0275,0.085,0.0663,0.015,0.0363,0.0642,0.074,0.0248,0.0409,0.0128,0.5971,0.0712,0.099,0.0107,0.049,0.0179,0.0162,0.0182,0.0355,0.1015,0.4342,0.195,0.0282,0.0379,0.0166,0.0361,0.0685,0.0541,0.0382,0.0807,0.0824,0.0809,0.093,0.0507,0.08,0.0501,0.0619,0.0867,0.0187,0.0742,0.1744,0.0685,0.0638,0.1015,0.0757,0.0707,0.0368,0.0515,0.0355,0.0616,0.0363,0.0692,0.1014,0.0634,0.015,0.0748,0.0742,0.0514,0.0688,0.0379,0.0568,0.0332,0.0908,0.0472,0.0285,0.0689,0.0849,0.0506,0.0571,0.0103,0.0941,0.0419,0.0898,0.0592,0.0294,0.0826,0.0239,0.0312,0.0685,0.0538,0.0696,0.0281,0.0616,0.0084,0.0143,0.085,0.0607,0.0754,0.0452,0.0822,0.0197,0.0727,0.0228,0.0272,0.046,0.0426,0.0958,0.0837,0.0828,0.0705,0.0559,0.0782,0.0164,0.1013,0.0369,0.0967,0.0862,0.0618,0.102,0.0963,0.0876,0.0714,0.102
0.1711,0.0214,0.1465,0.0998,0.1709,0.0901,0.0274,0.0617,0.1344,0.1713,0.0175,0.056,0.0979,0.1579,0.0687,0.0242,0.0174,0.035,0.1331,0.1026,0.0168,0.0487,0.0948,0.1226,0.0272,0.0532,0.0136,0.6393,0.1101,0.1671,0.0117,0.0689,0.0202,0.0178,0.0207,0.0482,0.17,0.457,0.2023,0.0346,0.0478,0.0184,0.0447,0.1104,0.0844,0.0501,0.1356,0.1393,0.1375,0.1562,0.069,0.117,0.0678,0.0949,0.137,0.0199,0.1177,0.1941,0.1135,0.0918,0.1705,0.1082,0.1096,0.0471,0.0737,0.0453,0.0895,0.0371,0.09,0.1696,0.0917,0.0167,0.1188,0.1143,0.0662,0.0989,0.0483,0.0802,0.0413,0.1484,0.0611,0.0344,0.1161,0.1318,0.0669,0.0837,0.0107,0.1589,0.0544,0.1405,0.0804,0.0358,0.14,0.0277,0.038,0.1048,0.0719,0.1033,0.0335,0.1008,0.009,0.0156,0.1468,0.0833,0.121,0.0594,0.121,0.0222,0.1017,0.0293,0.0316,0.0582,0.0547,0.1583,0.1216,0.1401,0.1034,0.0752,0.1318,0.0176,0.1702,0.0449,0.1544,0.1289,0.0898,0.1706,0.1616,0.1436,0.109,0.1706
0.3925,0.0251,0.2843,0.1608,0.3929,0.1452,0.0321,0.0959,0.297,0.3942,0.0204,0.0783,0.1574,0.3501,0.1013,0.0281,0.0192,0.049,0.2533,0.1866,0.0195,0.0686,0.1576,0.2663,0.0305,0.0715,0.0145,0.6811,0.2084,0.3797,0.0126,0.1048,0.023,0.0195,0.0233,0.0721,0.3918,0.4767,0.2068,0.0439,0.0634,0.0206,0.057,0.2181,0.1593,0.0665,0.2967,0.3321,0.33,0.3598,0.0974,0.1876,0.0974,0.1691,0.256,0.0193,0.2236,0.2187,0.2441,0.1473,0.391,0.1674,0.1987,0.0601,0.1178,0.0581,0.1444,0.0374,0.1522,0.3916,0.1464,0.0183,0.2245,0.2079,0.0864,0.1554,0.0644,0.1248,0.0512,0.3079,0.0827,0.0411,0.2455,0.2433,0.0909,0.1398,0.0107,0.3727,0.0754,0.2631,0.1164,0.0453,0.3155,0.0321,0.0469,0.1863,0.1023,0.1753,0.0411,0.2104,0.0093,0.0171,0.3516,0.124,0.2378,0.083,0.1963,0.025,0.1535,0.0413,0.0369,0.0757,0.0703,0.3494,0.1879,0.3379,0.1756,0.1088,0.3065,0.019,0.3907,0.0556,0.302,0.2187,0.1445,0.3921,0.3737,0.3055,0.1958,0.3928
0.6151,0.0268,0.3768,0.1894,0.6116,0.1732,0.0338,0.1176,0.4258,0.6125,0.0214,0.0891,0.1907,0.5127,0.1152,0.0299,0.0204,0.058,0.3343,0.2379,0.0214,0.0787,0.1944,0.3776,0.0313,0.0787,0.0142,0.6946,0.2819,0.5683,0.013,0.1242,0.0238,0.0202,0.0236,0.0849,0.6097,0.4799,0.2061,0.0476,0.0714,0.022,0.0618,0.2835,0.2148,0.0713,0.4177,0.5148,0.514,0.5466,0.109,0.2212,0.1108,0.2116,0.3202,0.0169,0.2881,0.2407,0.3449,0.1752,0.6111,0.1953,0.25,0.0635,0.1412,0.0618,0.1722,0.0368,0.1788,0.6091,0.175,0.0184,0.2889,0.2638,0.0916,0.1787,0.0713,0.1484,0.0534,0.4247,0.0931,0.0421,0.3342,0.3148,0.099,0.1759,0.0105,0.5847,0.0865,0.3373,0.1347,0.0504,0.4575,0.0332,0.0498,0.2357,0.1144,0.2167,0.0442,0.2959,0.0094,0.0182,0.5454,0.1447,0.3164,0.0948,0.2308,0.0257,0.1733,0.0483,0.039,0.0819,0.0737,0.5083,0.2086,0.5352,0.2154,0.1228,0.4588,0.0191,0.6096,0.0589,0.3964,0.2652,0.1724,0.6105,0.5767,0.4255,0.2464,0.6102
0.7541,0.0279,0.4168,0.1951,0.7502,0.1822,0.0349,0.1322,0.4846,0.7497,0.0216,0.0939,0.2071,0.5938,0.116,0.0318,0.0219,0.0653,0.3723,0.2574,0.0236,0.0832,0.2138,0.4242,0.0312,0.0809,0.0139,0.7105,0.3304,0.6662,0.013,0.1343,0.0239,0.0206,0.0232,0.0893,0.7477,0.4857,0.2064,0.0485,0.0767,0.0236,0.0627,0.2943,0.2459,0.0707,0.4624,0.6144,0.618,0.6435,0.1106,0.228,0.1149,0.2228,0.3246,0.0148,0.3088,0.2786,0.4003,0.1844,0.7508,0.2028,0.266,0.0619,0.149,0.061,0.1813,0.0363,0.1533,0.7459,0.1848,0.0182,0.3103,0.2836,0.089,0.1777,0.0742,0.16,0.0521,0.4739,0.0983,0.0413,0.3644,0.3469,0.0987,0.1982,0.0105,0.7139,0.0947,0.3614,0.1443,0.0547,0.5157,0.0331,0.0504,0.2596,0.1156,0.2364,0.0464,0.3433,0.0095,0.0196,0.646,0.1546,0.3513,0.1016,0.2349,0.0256,0.1721,0.0528,0.0395,0.0826,0.0717,0.5746,0.1989,0.6441,0.2289,0.1247,0.5257,0.0185,0.7496,0.0585,0.4237,0.2758,0.1814,0.7485,0.6894,0.4709,0.264,0.7474
0.8126,0.0298,0.4452,0.1968,0.8143,0.1912,0.037,0.1507,0.5268,0.8154,0.0225,0.099,0.2237,0.6402,0.1122,0.0347,0.0248,0.0766,0.4061,0.2765,0.0277,0.0885,0.2365,0.4501,0.0313,0.0838,0.0137,0.7272,0.376,0.7149,0.0136,0.1455,0.0246,0.0216,0.0231,0.0935,0.8129,0.4944,0.2093,0.0502,0.0841,0.0267,0.0647,0.2908,0.2761,0.0698,0.4814,0.6688,0.6667,0.6892,0.1117,0.2304,0.1188,0.2302,0.3153,0.0133,0.3227,0.3048,0.4482,0.1941,0.8115,0.2079,0.2772,0.061,0.1524,0.0602,0.1901,0.0367,0.1213,0.8122,0.1927,0.0178,0.3232,0.2975,0.0869,0.1723,0.0783,0.1752,0.0511,0.5073,0.1053,0.0405,0.3784,0.3735,0.0982,0.2244,0.0108,0.7707,0.1075,0.3778,0.157,0.0617,0.5387,0.0331,0.0522,0.285,0.1164,0.26,0.0501,0.3873,0.0099,0.0227,0.6849,0.1666,0.3813,0.1116,0.2355,0.026,0.17,0.0599,0.0407,0.0833,0.0699,0.5952,0.1864,0.6892,0.2389,0.1255,0.5529,0.0187,0.8114,0.0586,0.4299,0.2797,0.1903,0.8131,0.7353,0.4905,0.2736,0.8144
0.8275,0.0315,0.4722,0.1968,0.8314,0.1997,0.0396,0.1766,0.5686,0.8333,0.0237,0.1045,0.2424,0.6739,0.1018,0.038,0.0285,0.0947,0.4431,0.2959,0.0331,0.0949,0.2657,0.4698,0.0309,0.0869,0.0131,0.7327,0.4166,0.7372,0.0144,0.1589,0.025,0.0228,0.0225,0.0978,0.8307,0.4965,0.2097,0.0517,0.0945,0.0305,0.0667,0.2853,0.3162,0.0694,0.4894,0.6946,0.6751,0.7079,0.1125,0.23,0.1226,0.2355,0.2999,0.012,0.3333,0.3054,0.4824,0.2028,0.8268,0.213,0.2857,0.0604,0.1464,0.0592,0.1987,0.0367,0.0975,0.8305,0.2007,0.0172,0.333,0.3052,0.0842,0.1605,0.0824,0.1937,0.0501,0.5338,0.115,0.0393,0.3856,0.3997,0.0969,0.2595,0.0108,0.7835,0.1259,0.3886,0.1748,0.071,0.5469,0.0327,0.0546,0.3173,0.1148,0.29,0.0549,0.4401,0.0099,0.0262,0.6952,0.1811,0.4152,0.1243,0.2333,0.026,0.1668,0.0709,0.042,0.0832,0.0681,0.5941,0.1724,0.7041,0.2406,0.1233,0.5533,0.0193,0.8263,0.058,0.4235,0.2785,0.1989,0.8308,0.746,0.4889,0.2687,0.8329
0.8323,0.0324,0.495,0.1961,0.8327,0.2007,0.0403,0.2024,0.5872,0.8332,0.0247,0.1088,0.2599,0.6864,0.0902,0.0382,0.0295,0.1112,0.4725,0.3029,0.0366,0.1005,0.2822,0.4838,0.0294,0.0868,0.0125,0.7301,0.4389,0.745,0.015,0.1715,0.0248,0.0228,0.0218,0.098,0.8313,0.492,0.2066,0.051,0.1006,0.0319,0.0661,0.2824,0.3415,0.0699,0.4878,0.6876,0.6564,0.7083,0.1128,0.2286,0.1224,0.232,0.2846,0.0111,0.3339,0.285,0.4784,0.2033,0.8313,0.2147,0.2862,0.0601,0.1339,0.0581,0.1997,0.0359,0.0872,0.8304,0.2024,0.0166,0.3341,0.2998,0.0822,0.1465,0.0827,0.2018,0.049,0.54,0.1216,0.0383,0.3849,0.4211,0.0948,0.2927,0.0106,0.7796,0.1351,0.3876,0.1838,0.0751,0.5466,0.0318,0.0554,0.3345,0.111,0.3035,0.0562,0.4721,0.0097,0.0272,0.694,0.1863,0.4319,0.1294,0.2288,0.0257,0.1632,0.0793,0.0418,0.0815,0.0654,0.5847,0.1605,0.7033,0.2299,0.1175,0.5332,0.0194,0.8299,0.0567,0.4109,0.2716,0.2001,0.8319,0.7428,0.4691,0.2516,0.8317
0.8415,0.0335,0.5327,0.1997,0.8414,0.2004,0.0405,0.2416,0.6035,0.8409,0.0264,0.1159,0.2905,0.6913,0.0788,0.0371,0.0294,0.1313,0.5186,0.3098,0.0397,0.1098,0.2954,0.5099,0.0278,0.0855,0.0123,0.7348,0.4625,0.7635,0.0162,0.1929,0.0245,0.0227,0.0214,0.0964,0.8397,0.4923,0.2054,0.0499,0.1057,0.033,0.065,0.2856,0.3496,0.0734,0.4895,0.6682,0.6434,0.7123,0.1143,0.2315,0.1215,0.2267,0.2714,0.0105,0.3341,0.2654,0.4486,0.2026,0.8408,0.2173,0.2862,0.0621,0.1194,0.059,0.1993,0.0355,0.0838,0.8382,0.2022,0.0165,0.3347,0.2907,0.0823,0.1317,0.082,0.2055,0.0491,0.5403,0.1297,0.038,0.3852,0.4576,0.0934,0.3427,0.0105,0.7815,0.1393,0.3866,0.1874,0.0764,0.55,0.0312,0.0566,0.3443,0.1076,0.3095,0.0564,0.4863,0.0099,0.0272,0.6976,0.1874,0.4421,0.1314,0.2261,0.0256,0.1614,0.0904,0.0413,0.0801,0.0625,0.5775,0.1504,0.7056,0.2153,0.1116,0.5111,0.0193,0.8398,0.0559,0.3995,0.2647,0.1998,0.8403,0.7456,0.4458,0.2318,0.8391
0.8485,0.0346,0.5796,0.2143,0.85,0.2007,0.0418,0.2888,0.6195,0.8503,0.0293,0.1249,0.3292,0.6855,0.0685,0.036,0.0295,0.1521,0.5741,0.3177,0.0431,0.1226,0.3073,0.5425,0.0262,0.0843,0.0125,0.7432,0.4842,0.7849,0.0186,0.2224,0.0245,0.0228,0.0218,0.0934,0.8487,0.496,0.2065,0.0494,0.1121,0.0353,0.0644,0.2955,0.34,0.0814,0.4934,0.6309,0.6243,0.7158,0.117,0.2438,0.1212,0.2229,0.2611,0.01,0.3356,0.2338,0.3926,0.2033,0.8478,0.2269,0.2871,0.0672,0.1047,0.0651,0.1998,0.0355,0.0857,0.8479,0.2021,0.0171,0.336,0.28,0.0847,0.1159,0.0819,0.2086,0.051,0.5358,0.1419,0.0386,0.3868,0.5022,0.093,0.4024,0.0105,0.784,0.1428,0.3866,0.1895,0.0774,0.5546,0.0308,0.0598,0.3513,0.105,0.314,0.0575,0.4813,0.0106,0.0273,0.7022,0.1876,0.4495,0.1331,0.2257,0.0259,0.1619,0.1026,0.0411,0.0793,0.0609,0.5689,0.1432,0.7086,0.2004,0.1065,0.4903,0.0187,0.8473,0.0559,0.3888,0.2573,0.2001,0.849,0.7499,0.4234,0.211,0.8491
