0.1443,0.5318,0.038,0.8781,0.4943,0.084,0.1071,0.5772,0.1469,0.5019,0.3424,0.3555,0.099,0.0776,0.7088,0.1928,0.2237,0.3327,0.4145,0.0877,0.2195,0.6422,0.0752,0.0328
0.1475,0.5354,0.0384,0.8806,0.5117,0.0828,0.0955,0.5768,0.1424,0.5373,0.4823,0.3538,0.0968,0.1001,0.7153,0.1909,0.2321,0.3153,0.5229,0.0868,0.2054,0.618,0.0721,0.0327
0.1538,0.5448,0.0395,0.883,0.5375,0.0833,0.0892,0.577,0.1403,0.5495,0.57,0.352,0.0978,0.1236,0.7218,0.1891,0.2446,0.3072,0.6086,0.0859,0.198,0.6019,0.0707,0.0326
0.1625,0.5563,0.0414,0.8865,0.5678,0.087,0.0849,0.5787,0.141,0.5531,0.6149,0.3507,0.0999,0.1451,0.7289,0.1876,0.2672,0.3025,0.6656,0.0851,0.1932,0.5918,0.0705,0.0326
0.1707,0.5637,0.0441,0.8891,0.5938,0.0938,0.0817,0.581,0.1455,0.5553,0.637,0.3493,0.1011,0.1664,0.7347,0.1863,0.2962,0.3002,0.7038,0.0844,0.1903,0.5833,0.0716,0.0326
0.1761,0.5652,0.0478,0.8907,0.608,0.1031,0.0807,0.5833,0.152,0.5654,0.6486,0.3482,0.1013,0.1874,0.7394,0.1851,0.3216,0.3056,0.7305,0.0837,0.1925,0.5801,0.0737,0.0326
0.1763,0.5606,0.052,0.8911,0.6033,0.1142,0.0821,0.5842,0.1537,0.5855,0.655,0.3468,0.1001,0.2026,0.7432,0.1833,0.3313,0.3202,0.7451,0.083,0.2007,0.5849,0.0747,0.0326
0.1719,0.5561,0.0567,0.8916,0.5858,0.1269,0.0853,0.5844,0.1486,0.6096,0.6602,0.3453,0.0978,0.2101,0.7479,0.181,0.3242,0.3397,0.7503,0.0823,0.2116,0.597,0.0737,0.0325
0.1678,0.5581,0.0632,0.8935,0.5725,0.1414,0.0896,0.5847,0.1404,0.6321,0.6659,0.3436,0.0963,0.2143,0.7542,0.1787,0.314,0.3594,0.7512,0.0815,0.2221,0.6148,0.0714,0.0325
0.1686,0.57,0.074,0.8979,0.574,0.1574,0.0944,0.5865,0.1317,0.6505,0.6732,0.343,0.0977,0.2191,0.7624,0.1772,0.3129,0.3762,0.7502,0.081,0.2299,0.6368,0.069,0.0326
0.1738,0.5863,0.09,0.9005,0.5875,0.1752,0.0975,0.5889,0.1269,0.657,0.6787,0.3423,0.101,0.2281,0.7686,0.1767,0.3207,0.3839,0.7497,0.0806,0.2312,0.6532,0.0681,0.0325
0.1808,0.6001,0.1102,0.9006,0.6057,0.2,0.0974,0.5917,0.1319,0.6525,0.6815,0.3407,0.1044,0.25,0.7714,0.1765,0.3337,0.3819,0.7585,0.0798,0.2264,0.6581,0.0707,0.0325
0.1894,0.615,0.1348,0.9027,0.6297,0.237,0.0979,0.5971,0.1501,0.6542,0.6851,0.3402,0.1087,0.2917,0.7745,0.1771,0.3532,0.3843,0.7805,0.0795,0.226,0.662,0.0788,0.0326
